name;competence;willingness;confidence
;;;;
alice;-0.41901915000731316;0.40927215836605113;0.5221447727183751
Alice;-0.44584393030775427;0.9220256122771359;0.446347505913712
Alice;0.15759343375313697;-0.3153817923977694;-0.02178275517603398
Alice;0.3516824747132986;-0.6748470405096249;0.3718272501867811
Ben;0.07505308664457541;0.7361562539732881;-0.11745950386509062
ben;0.3592784251114839;-0.30522529619345695;-0.07948486043762708
Ben;-0.2767977659963966;0.29689857571895184;0.6178344282436066
Alice;1.0;1.0;1.0
Ben;0.9;1.0;1.0
Alice;1.0;1.0;1.0
Ben;1.0;1.0;1.0
